ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-02-13,768.9552578273841,114.93979855094233,1628.2297160615387,768.9552578273841,768.9552578273841,77.65278579678073,77.65278579678073,77.65278579678073,77.65278579678073,77.65278579678073,77.65278579678073,0.0,0.0,0.0,846.6080436241648
2023-02-17,768.2394885658779,227.83489697724414,1746.4897153984625,768.2394885658779,768.2394885658779,207.88214383223948,207.88214383223948,207.88214383223948,207.88214383223948,207.88214383223948,207.88214383223948,0.0,0.0,0.0,976.1216323981173
2023-02-19,767.8816039351249,62.47214299792889,1561.593605015039,767.8816039351249,767.8816039351249,25.697392232374295,25.697392232374295,25.697392232374295,25.697392232374295,25.697392232374295,25.697392232374295,0.0,0.0,0.0,793.5789961674992
2023-02-21,767.5237192976484,-106.23085862504624,1410.3496195590023,767.5237192976484,767.5237192976484,-85.797789449782,-85.797789449782,-85.797789449782,-85.797789449782,-85.797789449782,-85.797789449782,0.0,0.0,0.0,681.7259298478664
2023-02-22,767.3447769789102,-0.22527928635441377,1493.4921697228629,767.3447769789102,767.3447769789102,-49.58302435403807,-49.58302435403807,-49.58302435403807,-49.58302435403807,-49.58302435403807,-49.58302435403807,0.0,0.0,0.0,717.7617526248721
2023-02-23,767.1658346601718,-250.40778610527556,1287.444018718683,767.1658346601718,767.1658346601718,-274.4300139603616,-274.4300139603616,-274.4300139603616,-274.4300139603616,-274.4300139603616,-274.4300139603616,0.0,0.0,0.0,492.7358206998102
2023-03-03,765.734296143469,218.41302763125566,1723.2300501903871,765.734296143469,765.734296143469,207.88214383143355,207.88214383143355,207.88214383143355,207.88214383143355,207.88214383143355,207.88214383143355,0.0,0.0,0.0,973.6164399749025
2023-03-04,765.5553538288812,93.24196331898436,1598.6260032244643,765.5553538288812,765.5553538288812,98.57850590336594,98.57850590336594,98.57850590336594,98.57850590336594,98.57850590336594,98.57850590336594,0.0,0.0,0.0,864.1338597322471
2023-03-06,765.197469195955,69.07530995631471,1588.4272662091541,765.197469195955,765.197469195955,77.65278579640903,77.65278579640903,77.65278579640903,77.65278579640903,77.65278579640903,77.65278579640903,0.0,0.0,0.0,842.8502549923641
2023-03-22,762.3343921325467,20.292497557303857,1467.3296483868542,762.3343921325467,762.3343921325467,-49.58302435389293,-49.58302435389293,-49.58302435389293,-49.58302435389293,-49.58302435389293,-49.58302435389293,0.0,0.0,0.0,712.7513677786537
